timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 09:22:59.052, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:00.052, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:01.053, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:02.053, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:03.053, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:04.054, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:05.054, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:06.054, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:07.054, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:08.055, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 0 %
2026/09/24 09:23:09.055, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 84 %
2026/09/24 09:23:10.055, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:11.055, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:12.056, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:13.056, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:14.056, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:15.057, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 91 %
2026/09/24 09:23:16.057, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:17.057, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:18.058, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:19.058, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:20.058, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:21.058, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:22.059, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:23.059, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:24.059, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:25.060, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:26.060, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:27.060, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:28.060, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:23:29.061, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:30.061, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:31.061, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:23:32.062, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 91 %
2026/09/24 09:23:33.062, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:34.062, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:35.062, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:36.063, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:37.063, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:23:38.063, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
